time,value
1533064088.717,-19,19,-3,8
1533064088.723,9,17,4,3
1533064088.732,-2,12,20,10
1533064088.742,21,5,1,3
1533064088.75,15,20,16,12
1533064088.757,5,13,6,14
1533064088.766,21,2,16,15
1533064088.774,28,12,11,7
1533064088.781,0,8,7,12
1533064088.791,8,7,24,11
1533064088.797,-7,13,0,14
1533064088.807,-1,1,15,8
1533064088.816,-8,12,11,7
1533064088.823,12,11,1,9
1533064088.831,6,11,10,0
1533064088.841,7,18,23,4
1533064088.848,-7,1,21,19
1533064088.857,-3,20,7,12
1533064088.864,15,11,10,6
1533064088.875,5,25,15,11
1533064088.881,0,11,10,12
1533064088.89,7,9,5,7
1533064088.899,10,15,5,7
1533064088.907,15,23,1,15
1533064088.914,12,23,10,12
1533064088.926,2,13,3,22
1533064088.931,7,6,8,13
1533064088.94,9,5,19,12
1533064088.951,8,13,12,14
1533064088.957,-4,16,9,5
1533064088.965,-3,11,13,29
1533064088.976,13,18,11,13
1533064088.982,4,9,5,21
1533064088.99,7,21,8,16
1533064088.998,0,26,7,12
1533064089.007,17,10,18,5
1533064089.016,17,13,9,-4
1533064089.022,12,20,16,12
1533064089.031,17,7,12,11
1533064089.04,0,14,10,17
1533064089.047,9,32,22,12
1533064089.057,-10,19,9,17
1533064089.065,3,11,1,20
1533064089.074,9,17,13,23
1533064089.082,6,17,13,18
1533064089.09,7,3,17,10
1533064089.097,1,12,26,16
1533064089.106,0,23,1,12
1533064089.113,-7,15,0,21
1533064089.122,0,19,22,11
1533064089.134,-1,3,15,9
1533064089.139,-5,13,19,-2
1533064089.147,9,12,12,8
1533064089.158,1,11,8,7
1533064089.163,10,11,5,10
1533064089.172,6,0,-4,-1
1533064089.181,-1,15,20,-2
1533064089.19,2,3,5,1
1533064089.196,14,9,2,6
1533064089.206,9,-1,0,7
1533064089.216,-3,10,5,6
1533064089.222,-1,17,11,3
1533064089.231,-2,11,6,16
1533064089.241,2,3,7,2
1533064089.249,-8,-2,2,9
1533064089.257,4,17,-1,0
1533064089.264,8,-6,-5,2
1533064089.272,16,2,0,1
1533064089.28,7,15,8,4
1533064089.289,4,12,-5,16
1533064089.297,13,1,27,1
1533064089.309,6,4,3,6
1533064089.315,3,19,5,-3
1533064089.323,2,2,16,-9
1533064089.329,2,8,4,0
1533064089.345,3,18,5,-1
1533064089.356,-15,11,28,1
1533064089.366,-1,8,10,1
1533064089.372,2,2,3,7
1533064089.379,-4,19,5,3
1533064089.387,6,11,9,-3
1533064089.396,12,17,24,9
1533064089.406,-3,7,8,0
1533064089.414,-3,15,19,19
1533064089.422,2,5,3,-1
1533064089.429,15,15,4,3
1533064089.445,0,2,9,-9
1533064089.454,7,-1,-4,7
1533064089.462,2,-2,3,-3
1533064089.474,4,6,-1,5
1533064089.479,0,-3,0,0
1533064089.496,-1,7,10,-1
1533064089.504,4,6,12,1
1533064089.511,4,-4,-1,4
1533064089.52,5,2,1,3
1533064089.529,-10,-2,12,8
1533064089.54,-3,-4,6,2
1533064089.545,0,21,13,9
1533064089.554,7,1,17,7
1533064089.562,0,5,21,5
1533064089.578,9,11,33,7
1533064089.587,12,24,22,2
1533064089.595,6,11,27,7
1533064089.606,9,12,28,17
1533064089.612,7,25,29,12
1533064089.62,8,29,18,7
1533064089.635,0,29,36,25
1533064089.644,-1,30,31,17
1533064089.654,10,27,46,23
1533064089.662,7,39,49,23
1533064089.671,36,111,128,107
1533064089.678,113,277,288,220
1533064089.689,177,445,469,371
1533064089.694,251,578,609,509
1533064089.704,188,448,496,395
1533064089.712,90,221,230,191
1533064089.721,193,404,447,376
1533064089.728,106,264,282,233
1533064089.737,164,359,384,314
1533064089.747,182,410,438,367
1533064089.754,205,425,474,411
1533064089.762,230,460,522,445
1533064089.77,219,488,523,457
1533064089.78,238,501,527,473
1533064089.787,237,512,556,469
1533064089.794,247,513,569,497
1533064089.806,256,541,575,511
1533064089.811,269,593,612,533
1533064089.82,284,608,648,568
1533064089.829,299,636,669,583
1533064089.837,291,643,691,613
1533064089.845,291,661,711,613
1533064089.855,281,657,716,618
1533064089.862,304,683,730,652
1533064089.873,309,694,735,639
1533064089.88,317,699,761,662
1533064089.888,314,711,791,674
1533064089.894,323,739,803,697
1533064089.906,332,739,833,706
1533064089.912,325,750,817,711
1533064089.919,316,732,805,711
1533064089.93,319,738,820,717
1533064089.938,312,731,822,710
1533064089.945,315,725,807,713
1533064089.959,324,731,831,730
1533064089.968,316,738,835,737
1533064089.974,325,741,853,740
1533064089.984,324,758,846,757
1533064089.991,314,769,848,762
1533064089.997,323,769,878,765
1533064090.003,327,794,879,772
1533064090.011,332,802,895,797
1533064090.022,321,803,899,798
1533064090.028,330,800,899,813
1533064090.038,327,815,888,810
1533064090.047,317,787,895,815
1533064090.058,318,791,888,792
1533064090.066,322,780,880,787
1533064090.072,327,776,861,775
1533064090.083,306,761,870,766
1533064090.088,317,757,872,771
1533064090.095,307,765,856,779
1533064090.102,318,773,870,772
1533064090.115,324,776,855,777
1533064090.12,310,765,865,776
1533064090.127,305,760,836,768
1533064090.14,307,744,862,773
1533064090.152,304,744,838,767
1533064090.161,301,741,847,758
1533064090.168,306,749,828,751
1533064090.175,303,743,831,754
1533064090.182,312,734,840,751
1533064090.192,300,746,840,757
1533064090.198,335,748,848,768
1533064090.206,322,750,850,779
1533064090.216,308,751,836,794
1533064090.221,307,750,850,781
1533064090.227,317,748,857,785
1533064090.235,311,745,845,780
1533064090.243,305,730,848,759
1533064090.251,311,727,824,750
1533064090.26,302,708,803,753
1533064090.268,306,706,804,751
1533064090.283,317,724,830,744
1533064090.291,314,742,824,747
1533064090.299,309,728,849,769
1533064090.306,303,740,843,772
1533064090.312,288,734,831,772
1533064090.324,306,746,834,766
1533064090.332,303,746,837,772
1533064090.338,296,733,824,768
1533064090.348,306,728,816,763
1533064090.354,315,740,813,745
1533064090.36,309,728,825,754
1533064090.368,302,724,821,753
1533064090.381,303,734,825,757
1533064090.386,305,736,833,738
1533064090.393,298,738,820,743
1533064090.401,311,727,830,738
1533064090.413,302,739,836,747
1533064090.42,298,735,838,755
1533064090.426,305,742,830,765
1533064090.435,315,752,849,783
1533064090.446,317,754,857,788
1533064090.452,301,759,856,796
1533064090.459,331,771,853,784
1533064090.468,327,770,879,781
1533064090.479,312,773,882,795
1533064090.485,315,776,870,789
1533064090.493,323,784,881,800
1533064090.501,323,775,872,806
1533064090.514,334,780,877,799
1533064090.52,321,782,879,795
1533064090.525,321,788,876,813
1533064090.536,326,793,895,826
1533064090.542,327,809,899,825
1533064090.553,343,795,903,817
1533064090.559,323,809,895,818
1533064090.567,323,799,895,818
1533064090.581,340,810,892,826
1533064090.586,310,792,900,823
1533064090.592,324,809,899,827
1533064090.6,323,793,892,826
1533064090.613,325,801,903,825
1533064090.619,339,819,902,825
1533064090.626,333,806,905,825
1533064090.638,322,804,912,840
1533064090.643,324,822,902,833
1533064090.652,332,802,916,835
1533064090.658,324,791,911,833
1533064090.669,313,801,894,831
1533064090.676,321,797,893,836
1533064090.683,314,799,907,850
1533064090.696,322,810,903,831
1533064090.702,325,804,900,834
1533064090.709,320,796,907,844
1533064090.72,325,798,900,831
1533064090.726,323,793,916,844
1533064090.733,328,792,906,843
1533064090.741,315,794,888,830
1533064090.754,318,782,896,839
1533064090.762,327,794,894,848
1533064090.768,326,802,907,862
1533064090.779,321,806,905,866
1533064090.785,313,808,912,861
1533064090.791,324,813,926,872
1533064090.8,329,818,919,873
1533064090.808,329,821,928,885
1533064090.817,305,821,931,894
1533064090.825,323,818,940,900
1533064090.833,321,834,926,904
1533064090.843,323,827,937,897
1533064090.854,329,827,928,903
1533064090.861,342,834,941,898
1533064090.868,317,827,943,912
1533064090.876,329,842,943,909
1533064090.885,320,815,931,894
1533064090.891,309,819,929,901
1533064090.9,316,829,930,908
1533064090.909,329,815,928,903
1533064090.919,310,807,930,899
1533064090.925,331,817,933,899
1533064090.933,314,824,934,891
1533064090.941,312,822,935,889
1533064090.951,314,833,943,894
1533064090.957,327,822,929,901
1533064090.967,311,818,934,900
1533064090.976,322,814,924,893
1533064090.986,338,818,931,894
1533064090.997,315,828,935,898
1533064091.008,324,828,926,886
1533064091.019,322,826,927,902
1533064091.025,338,811,919,882
1533064091.033,326,815,919,885
1533064091.041,329,815,916,882
1533064091.049,315,816,932,886
1533064091.061,325,804,915,878
1533064091.071,316,813,909,876
1533064091.078,321,803,908,874
1533064091.085,299,787,910,856
1533064091.094,312,794,908,866
1533064091.106,311,793,895,856
1533064091.113,311,787,901,853
1533064091.12,326,787,907,853
1533064091.127,311,787,898,841
1533064091.134,314,793,895,853
1533064091.144,304,777,897,843
1533064091.154,313,780,886,834
1533064091.162,324,788,888,848
1533064091.168,320,772,884,835
1533064091.177,315,788,891,825
1533064091.183,297,776,879,813
1533064091.198,300,764,891,822
1533064091.205,311,763,884,826
1533064091.214,313,777,886,823
1533064091.22,305,763,890,824
1533064091.234,323,769,890,824
1533064091.24,300,770,873,816
1533064091.248,309,773,876,822
1533064091.254,299,769,872,818
1533064091.261,312,788,882,822
1533064091.272,308,769,875,818
1533064091.278,305,769,881,821
1533064091.289,322,774,871,808
1533064091.297,297,767,870,813
1533064091.306,312,782,858,813
1533064091.321,319,768,877,828
1533064091.329,317,772,875,824
1533064091.336,305,781,872,821
1533064091.343,313,777,880,823
1533064091.35,314,769,866,806
1533064091.363,323,763,878,815
1533064091.369,316,774,865,817
1533064091.375,299,772,875,821
1533064091.384,313,756,880,808
1533064091.391,308,757,872,815
1533064091.4,315,773,858,807
1533064091.412,308,757,875,812
1533064091.418,310,762,877,799
1533064091.426,309,767,867,825
1533064091.433,313,765,874,831
1533064091.444,310,771,868,817
1533064091.45,315,761,876,807
1533064091.456,317,766,872,803
1533064091.463,312,761,876,819
1533064091.469,303,755,870,813
1533064091.479,303,773,864,816
1533064091.484,322,759,880,799
1533064091.491,314,760,863,815
1533064091.497,298,765,874,808
1533064091.506,298,768,874,817
1533064091.512,299,772,875,815
1533064091.518,299,763,869,821
1533064091.525,310,765,871,808
1533064091.53,308,754,857,812
1533064091.541,301,771,865,811
1533064091.548,309,770,867,819
1533064091.554,307,765,871,811
1533064091.565,322,765,874,799
1533064091.57,310,774,862,814
1533064091.579,316,759,871,820
1533064091.588,295,765,856,817
1533064091.6,310,765,868,811
1533064091.606,291,773,864,801
1533064091.615,303,758,864,807
1533064091.621,321,755,870,807
1533064091.63,300,761,849,813
1533064091.639,308,760,857,809
1533064091.648,301,753,850,793
1533064091.654,305,754,866,800
1533064091.667,299,772,857,806
1533064091.674,294,740,858,795
1533064091.681,290,769,860,803
1533064091.687,299,757,836,797
1533064091.699,305,754,860,812
1533064091.704,296,760,857,800
1533064091.712,298,765,844,805
1533064091.72,294,752,858,789
1533064091.731,307,741,829,802
1533064091.737,291,740,849,795
1533064091.745,308,748,836,797
1533064091.756,299,739,860,800
1533064091.763,305,739,848,803
1533064091.772,308,766,842,791
1533064091.782,298,756,856,805
1533064091.787,309,740,849,792
1533064091.796,301,750,850,805
1533064091.815,304,750,856,799
1533064091.821,303,728,840,795
1533064091.826,296,754,842,809
1533064091.834,300,740,831,775
1533064091.844,300,746,834,795
