time,value
1533063637.259,210,556,656,704
1533063637.271,223,599,675,737
1533063637.283,240,607,671,727
1533063637.294,241,611,699,749
1533063637.302,239,627,709,753
1533063637.314,251,631,730,753
1533063637.32,244,645,717,767
1533063637.332,254,652,736,776
1533063637.34,260,655,727,779
1533063637.35,265,657,750,764
1533063637.356,255,674,758,789
1533063637.368,267,665,743,783
1533063637.375,259,651,741,784
1533063637.387,246,668,755,783
1533063637.395,257,664,757,794
1533063637.401,264,665,761,792
1533063637.409,261,674,752,786
1533063637.419,282,677,773,816
1533063637.425,264,671,749,804
1533063637.433,267,650,749,786
1533063637.441,273,671,755,798
1533063637.451,258,671,758,783
1533063637.458,255,656,773,795
1533063637.466,261,677,773,807
1533063637.478,263,676,757,791
1533063637.485,260,679,763,785
1533063637.492,276,680,779,798
1533063637.499,273,686,770,810
1533063637.509,264,686,779,789
1533063637.516,266,688,775,800
1533063637.522,262,684,762,802
1533063637.53,261,680,770,801
1533063637.54,258,668,755,798
1533063637.548,261,683,776,813
1533063637.555,288,695,761,813
1533063637.564,271,672,762,799
1533063637.572,280,684,771,817
1533063637.58,279,677,770,813
1533063637.586,265,669,762,802
1533063637.594,276,671,776,798
1533063637.603,269,676,781,800
1533063637.609,282,677,770,816
1533063637.617,273,680,773,795
1533063637.626,257,679,775,791
1533063637.637,266,691,769,800
1533063637.644,271,669,759,802
1533063637.652,258,686,767,801
1533063637.658,269,685,790,803
1533063637.667,270,692,767,798
1533063637.681,268,666,783,805
1533063637.687,264,680,770,798
1533063637.699,264,683,791,810
1533063637.709,259,678,756,805
1533063637.719,277,696,765,796
1533063637.726,271,681,789,805
1533063637.735,275,694,760,797
1533063637.749,268,687,768,808
1533063637.755,258,698,764,807
1533063637.761,273,698,785,816
1533063637.77,268,684,765,805
1533063637.778,276,674,764,801
1533063637.788,264,671,773,804
1533063637.796,270,692,776,798
1533063637.803,275,673,787,800
1533063637.809,273,680,746,789
1533063637.821,258,677,776,798
1533063637.828,273,683,779,807
1533063637.834,265,675,768,790
1533063637.841,266,667,781,806
1533063637.848,267,674,746,792
1533063637.862,265,681,771,808
1533063637.869,284,688,766,806
1533063637.876,280,699,783,802
1533063637.883,263,676,760,785
1533063637.892,273,677,770,804
1533063637.899,271,666,768,793
1533063637.906,263,691,778,794
1533063637.914,261,698,779,804
1533063637.924,253,681,765,808
1533063637.931,275,670,757,803
1533063637.937,261,680,761,807
1533063637.945,266,676,754,803
1533063637.951,282,692,764,807
1533063637.964,259,687,771,802
1533063637.97,251,691,769,809
1533063637.979,270,689,773,801
1533063637.986,282,698,785,804
1533063637.995,269,679,775,809
1533063638.002,260,676,763,797
1533063638.01,250,681,774,802
1533063638.017,273,683,761,807
1533063638.026,280,681,771,793
1533063638.034,258,686,773,801
1533063638.04,275,688,766,806
1533063638.048,272,682,766,794
1533063638.058,264,674,755,804
1533063638.065,257,682,766,803
1533063638.071,262,684,765,811
1533063638.078,271,672,750,802
1533063638.085,272,685,778,803
1533063638.097,259,681,771,808
1533063638.104,263,688,787,803
1533063638.113,262,690,765,808
1533063638.121,263,694,763,803
1533063638.129,272,697,790,818
1533063638.14,261,683,755,810
1533063638.147,254,682,769,806
1533063638.152,280,702,780,808
1533063638.16,282,680,770,801
1533063638.166,275,700,778,809
1533063638.18,255,671,767,804
1533063638.187,273,680,767,807
1533063638.201,273,689,773,813
1533063638.211,267,689,764,810
1533063638.218,277,657,780,799
1533063638.228,271,687,756,802
1533063638.235,269,688,778,817
1533063638.247,267,686,779,816
1533063638.253,264,683,794,807
1533063638.264,268,687,783,822
1533063638.27,276,686,761,813
1533063638.281,273,686,776,810
1533063638.288,270,689,761,804
1533063638.296,266,682,778,803
1533063638.303,284,688,775,806
1533063638.314,268,681,771,820
1533063638.321,263,679,766,788
1533063638.329,274,678,771,802
1533063638.336,262,681,777,799
1533063638.348,272,688,781,809
1533063638.356,265,687,786,805
1533063638.364,279,680,767,801
1533063638.371,264,674,770,804
1533063638.386,267,680,776,804
1533063638.394,281,679,766,806
1533063638.4,273,683,779,798
1533063638.409,272,691,778,815
1533063638.416,262,684,768,813
1533063638.429,265,675,765,802
1533063638.435,279,677,764,786
1533063638.443,272,685,790,800
1533063638.45,272,685,757,800
1533063638.462,266,685,748,806
1533063638.468,278,688,781,791
