time,2,4,6,8,10,12,18,20,22,24,26,28
1533769367.905,132,482,511,534,605,569,547,602,465,389,441,555
1533769367.933,138,500,507,555,622,582,549,624,469,385,465,577
1533769367.954,159,527,545,546,625,582,558,648,481,391,470,577
1533769367.965,168,537,538,558,649,594,577,651,502,400,465,597
1533769367.976,192,536,553,567,642,596,585,656,501,395,469,590
1533769367.999,194,541,546,563,644,592,569,661,497,400,471,603
1533769368.009,190,546,551,568,643,609,565,668,507,399,470,605
1533769368.018,173,538,543,569,653,604,587,669,503,403,479,612
1533769368.032,188,544,552,560,650,622,581,655,497,415,479,592
1533769368.057,190,540,560,568,655,600,583,660,505,405,487,602
1533769368.068,176,532,555,573,644,598,584,652,503,397,465,612
1533769368.091,172,549,566,562,655,606,589,663,508,411,479,608
1533769368.101,194,541,549,582,656,619,572,661,500,412,482,612
1533769368.118,180,554,559,582,666,611,576,662,516,419,495,610
1533769368.157,197,553,549,560,647,604,581,664,497,400,477,603
1533769368.167,172,543,554,565,649,609,598,660,505,397,476,608
1533769368.175,180,536,544,564,651,596,579,656,498,410,486,598
1533769368.189,190,552,551,581,655,609,604,660,496,405,476,600
1533769368.2,168,524,547,558,648,611,570,647,509,395,492,604
1533769368.216,170,550,549,563,650,595,575,652,508,386,471,598
1533769368.225,173,541,549,566,650,610,569,663,502,403,482,597
1533769368.234,185,550,561,572,650,604,584,670,506,404,488,609
1533769368.249,179,538,543,557,653,607,572,664,491,409,471,600
1533769368.259,180,545,547,558,639,605,573,659,498,410,480,604
1533769368.274,181,552,545,584,658,609,589,669,496,391,473,594
1533769368.284,186,542,547,573,672,611,576,662,495,413,475,610
1533769368.302,194,544,555,572,662,601,572,664,506,392,483,604
1533769368.329,186,539,550,552,657,611,579,676,498,407,472,613
1533769368.345,184,537,545,562,652,585,577,654,502,391,464,594
1533769368.363,174,542,534,577,657,605,582,676,501,404,475,604
1533769368.375,185,541,561,563,656,607,578,652,506,398,477,609
1533769368.383,198,542,550,564,657,614,579,656,504,410,492,613
1533769368.401,184,537,554,562,652,597,580,657,496,391,481,608
1533769368.432,189,548,556,570,657,614,585,656,512,413,478,596
1533769368.444,177,526,541,583,645,614,570,662,498,416,469,604
1533769368.46,184,537,539,553,646,603,577,657,502,402,470,594
1533769368.474,182,541,543,569,653,613,575,667,506,409,471,598
1533769368.498,178,528,529,568,640,612,577,657,496,399,478,608
1533769368.507,184,555,539,575,655,603,574,651,490,402,478,602
1533769368.517,174,551,550,567,651,605,570,673,501,393,475,610
1533769368.534,182,541,543,563,653,610,569,669,506,400,488,609
1533769368.553,172,534,545,559,652,609,571,660,499,393,470,608
1533769368.566,170,532,549,575,656,601,575,652,500,395,477,592
1533769368.576,185,541,549,575,653,613,584,655,509,412,477,603
1533769368.601,183,548,556,564,663,608,566,668,513,399,486,610
1533769368.626,189,557,559,573,645,608,570,656,512,396,483,610
1533769368.64,185,541,552,578,656,616,575,670,512,406,480,604
1533769368.658,185,544,549,579,656,619,587,661,509,403,477,624
1533769368.684,188,550,543,566,659,616,578,667,508,406,482,603
1533769368.7,176,559,570,569,647,607,590,670,506,389,480,618
1533769368.719,186,548,541,570,651,626,585,673,507,393,478,616
1533769368.733,175,531,545,565,643,603,580,666,513,394,476,608
1533769368.752,178,549,536,568,652,609,565,663,484,391,473,599
1533769368.766,191,535,558,560,656,619,581,664,494,403,485,615
1533769368.79,178,543,554,574,646,618,583,660,505,402,484,605
1533769368.811,193,528,554,552,649,615,580,666,496,399,476,608
1533769368.843,183,551,550,573,660,614,573,656,504,401,466,593
1533769368.876,184,564,560,565,664,612,589,666,505,411,482,606
1533769368.906,182,535,552,566,656,613,596,669,497,392,485,609
1533769368.914,208,548,553,583,660,608,573,671,504,410,489,616
1533769368.926,189,542,550,564,663,608,579,665,498,413,483,598
1533769368.964,188,532,540,563,653,610,569,675,500,406,477,606
1533769368.972,182,544,558,579,650,619,575,667,500,395,479,609
1533769368.98,179,526,546,566,644,586,572,658,503,383,468,597
1533769369.03,188,544,558,572,644,616,566,661,503,403,474,612
1533769369.038,182,538,558,563,656,613,569,667,508,400,468,609
1533769369.063,190,546,551,562,646,609,571,651,507,411,470,608
1533769369.073,188,535,546,563,653,598,581,661,494,403,479,600
1533769369.13,193,540,560,571,664,621,589,666,508,403,496,623
1533769369.155,190,534,554,575,655,609,580,663,487,394,481,614
1533769369.165,177,545,541,561,645,605,582,659,501,401,480,616
1533769369.18,181,555,557,565,649,609,589,672,499,408,476,614
1533769369.189,187,540,548,565,655,621,574,660,502,402,484,617
1533769369.215,186,551,538,561,642,611,579,662,495,392,480,598
1533769369.229,199,543,560,577,655,612,583,657,508,422,490,614
1533769369.248,188,544,561,572,659,613,578,670,517,406,477,601
1533769369.273,198,548,550,567,654,611,585,676,510,404,492,613
1533769369.297,194,550,549,563,656,613,596,661,506,397,468,606
1533769369.312,193,546,557,571,652,615,583,660,499,394,479,608
