time,value
1533060550.338,1378,1525
1533060550.353,1354,1501
1533060550.378,1394,1552
1533060550.388,1367,1502
1533060550.395,1393,1545
1533060550.403,1387,1539
1533060550.441,1386,1521
1533060550.454,1387,1522
1533060550.472,1377,1515
1533060550.495,1375,1528
1533060550.521,1396,1533
1533060550.544,1353,1497
1533060550.553,1401,1553
1533060550.567,1387,1542
1533060550.578,1408,1533
1533060550.587,1369,1536
1533060550.597,1384,1536
1533060550.62,1388,1517
1533060550.626,1368,1512
1533060550.644,1372,1525
1533060550.652,1382,1511
1533060550.669,1373,1514
1533060550.677,1381,1519
1533060550.694,1389,1524
1533060550.706,1370,1502
1533060550.736,1382,1529
1533060550.756,1370,1517
1533060550.769,1372,1507
1533060550.782,1372,1501
1533060550.805,1314,1464
1533060550.818,1315,1450
1533060550.843,1311,1452
1533060550.862,1311,1443
1533060550.869,1274,1395
1533060550.877,1275,1420
1533060550.886,1272,1393
1533060550.903,1264,1400
1533060550.915,1273,1391
1533060550.926,1292,1428
1533060550.937,1255,1397
1533060550.963,1261,1394
1533060550.982,1268,1395
1533060550.996,1265,1416
1533060551.012,1299,1425
1533060551.027,1343,1481
