time,1,3,4,10,11,13
1533163410.116,853,727,675,795,969,553
1533163410.14,867,744,692,803,991,569
1533163410.155,851,715,685,772,961,537
1533163410.166,858,744,683,791,980,558
1533163410.191,813,683,648,742,926,513
1533163410.217,877,761,699,795,989,565
1533163410.239,872,749,697,784,973,572
1533163410.247,872,762,703,793,1002,571
1533163410.262,895,773,728,822,1027,594
1533163410.285,856,729,687,771,975,547
1533163410.301,877,751,690,798,969,565
1533163410.319,860,737,697,781,970,537
1533163410.334,863,746,673,787,973,551
1533163410.343,860,740,691,796,985,563
1533163410.359,827,710,650,756,933,543
1533163410.371,854,737,676,787,973,545
1533163410.394,909,781,726,820,1031,583
1533163410.403,854,730,682,772,973,560
1533163410.428,848,725,691,778,961,548
1533163410.454,913,775,719,821,1029,587
1533163410.482,897,779,716,824,1009,575
1533163410.493,884,790,723,811,1019,574
1533163410.506,896,774,702,804,998,573
1533163410.53,890,774,706,805,1014,566
1533163410.553,922,804,730,835,1041,598
1533163410.568,899,773,714,810,1007,585
1533163410.599,925,785,739,824,1029,584
1533163410.61,902,780,714,810,1013,579
1533163410.637,889,771,722,810,1021,562
1533163410.646,887,780,727,817,1028,580
1533163410.67,895,773,705,807,1021,579
1533163410.685,884,759,703,802,1002,569
1533163410.704,877,748,705,795,993,559
1533163410.718,887,762,709,808,1008,577
1533163410.735,902,770,714,819,1018,599
1533163410.769,899,777,719,827,1007,573
1533163410.795,888,788,698,815,1006,561
1533163410.809,866,743,676,784,982,543
1533163410.834,890,765,721,811,1005,580
1533163410.842,902,783,728,822,1030,594
1533163410.887,893,768,703,805,1028,580
1533163410.918,867,766,692,797,994,555
1533163410.95,882,772,713,803,1003,590
1533163410.971,911,776,717,819,1030,585
1533163410.983,887,771,706,811,1017,589
1533163411.016,900,768,706,814,1017,586
1533163411.028,900,781,718,808,1028,580
1533163411.042,878,777,709,820,1005,577
1533163411.061,900,782,707,818,1015,581
1533163411.075,886,761,705,807,1013,573
1533163411.092,880,758,699,804,992,573
1533163411.1,898,770,708,810,1004,582
1533163411.116,909,771,703,817,1008,572
1533163411.126,884,768,718,799,1014,583
1533163411.141,887,762,709,808,999,557
1533163411.159,879,769,707,800,1000,561
1533163411.185,882,763,707,809,1006,575
1533163411.2,889,780,708,819,1007,571
1533163411.207,874,773,699,807,995,559
1533163411.217,893,781,709,814,1005,580
1533163411.225,882,760,698,809,1000,561
1533163411.24,877,770,708,822,989,576
1533163411.251,890,759,688,808,1008,560
1533163411.278,899,787,703,817,1017,589
1533163411.292,894,756,700,814,1008,591
1533163411.314,874,751,687,798,995,550
1533163411.324,872,740,700,799,985,571
1533163411.334,848,730,673,778,973,540
1533163411.352,851,749,685,790,970,557
1533163411.365,906,768,721,814,1022,583
1533163411.379,864,757,704,788,994,564
1533163411.391,863,743,688,778,979,557
1533163411.411,883,773,723,807,1007,574
1533163411.429,877,754,690,786,995,565
1533163411.44,883,745,702,795,978,553
1533163411.455,861,735,686,794,980,552
1533163411.474,858,735,671,767,968,552
1533163411.493,864,738,686,779,974,555
1533163411.514,854,743,673,784,964,548
1533163411.531,874,764,690,813,984,565
1533163411.548,861,747,683,791,974,558
1533163411.561,862,745,687,786,972,550
1533163411.574,844,730,663,759,957,544
1533163411.592,877,742,699,795,995,556
1533163411.625,882,741,695,797,977,552
1533163411.657,840,722,653,765,945,535
1533163411.682,890,765,706,805,999,545
1533163411.714,907,785,724,826,1020,575
1533163411.741,912,800,729,825,1040,583
1533163411.764,935,814,734,830,1045,585
1533163411.772,946,832,754,865,1067,596
1533163411.783,962,822,730,832,1061,598
1533163411.797,945,843,759,867,1081,626
