time,value
1533060995.771,864,972
1533060995.789,854,959
1533060995.796,843,952
1533060995.814,848,945
1533060995.838,849,943
1533060995.863,835,932
1533060995.87,830,933
1533060995.888,832,944
1533060995.903,833,918
1533060995.921,832,923
1533060995.936,829,920
1533060995.954,825,916
1533060995.962,822,925
1533060995.97,825,910
1533060995.988,813,901
1533060996.004,821,912
1533060996.022,822,919
1533060996.038,817,914
1533060996.06,827,909
1533060996.086,825,905
1533060996.095,816,905
1533060996.109,797,897
1533060996.121,810,904
1533060996.129,811,906
1533060996.136,812,898
1533060996.154,808,897
1533060996.161,807,905
1533060996.168,802,899
1533060996.185,807,907
1533060996.194,805,905
1533060996.203,793,907
1533060996.212,800,889
1533060996.219,790,884
1533060996.227,792,886
1533060996.236,794,894
1533060996.245,805,885
1533060996.253,796,881
1533060996.261,794,894
1533060996.28,787,884
1533060996.302,795,871
1533060996.313,779,873
1533060996.327,778,863
1533060996.335,783,868
1533060996.349,785,861
1533060996.36,764,861
1533060996.368,755,844
1533060996.386,714,812
1533060996.393,677,773
1533060996.402,655,751
1533060996.411,663,754
1533060996.419,645,745
1533060996.427,637,740
1533060996.436,643,719
1533060996.452,608,708
1533060996.46,619,711
1533060996.468,609,695
1533060996.48,599,675
1533060996.493,574,677
1533060996.502,588,673
1533060996.527,585,653
1533060996.535,576,653
1533060996.56,632,718
1533060996.568,709,787
