time,0,2,4,10,12,14
1533338153.248,216,603,526,701,764,535
1533338153.263,248,635,558,733,804,579
1533338153.286,241,652,566,741,812,589
1533338153.308,239,665,572,739,821,570
1533338153.326,249,666,582,737,845,600
1533338153.364,241,649,574,738,820,581
1533338153.395,242,665,575,739,821,599
1533338153.424,247,655,574,735,829,595
1533338153.463,246,657,568,731,816,583
1533338153.482,247,643,554,738,826,583
1533338153.497,246,651,565,737,814,585
1533338153.506,236,647,561,736,818,587
1533338153.529,248,635,573,739,830,588
1533338153.539,250,677,571,741,829,589
1533338153.563,244,637,563,744,829,581
1533338153.572,243,660,576,737,819,577
1533338153.592,251,653,567,733,830,587
1533338153.606,257,665,573,745,827,585
1533338153.629,250,667,577,732,832,572
1533338153.639,249,660,579,740,819,594
1533338153.657,248,662,570,748,821,585
1533338153.672,237,648,559,734,822,588
1533338153.692,244,655,571,735,815,586
1533338153.705,253,655,577,732,817,578
1533338153.725,241,664,595,738,823,595
1533338153.739,242,675,587,742,818,579
1533338153.763,246,651,573,740,831,577
1533338153.795,274,654,579,737,843,600
1533338153.826,237,657,573,737,834,586
1533338153.854,249,669,576,734,816,588
1533338153.886,236,665,575,733,827,582
1533338153.917,238,649,563,726,820,589
1533338153.947,228,657,585,734,834,583
1533338153.961,255,651,573,752,831,597
1533338153.969,247,652,557,741,815,595
1533338153.984,226,646,563,732,815,589
1533338153.994,241,643,583,744,820,586
1533338154.016,241,646,566,738,815,581
1533338154.028,228,630,570,719,822,588
1533338154.036,238,643,566,735,818,592
1533338154.055,256,664,569,735,829,587
1533338154.069,243,648,568,734,820,583
1533338154.079,239,647,578,739,836,588
1533338154.094,235,646,557,726,823,584
1533338154.102,243,639,562,740,819,580
1533338154.121,237,651,556,743,817,591
1533338154.154,237,651,565,746,811,589
1533338154.188,245,668,578,742,813,585
1533338154.202,244,664,574,738,823,592
1533338154.219,245,662,575,736,813,588
1533338154.228,251,650,570,745,830,585
1533338154.236,244,667,574,735,823,581
1533338154.254,245,653,581,736,815,587
1533338154.263,249,645,585,746,839,588
1533338154.288,238,667,577,732,829,589
1533338154.301,241,655,566,738,823,578
1533338154.316,252,645,573,740,822,577
1533338154.335,247,664,569,741,838,595
1533338154.352,244,652,574,732,823,581
1533338154.366,249,645,573,743,822,585
1533338154.4,258,648,588,749,825,588
1533338154.41,245,644,558,739,827,584
1533338154.428,239,650,575,730,824,585
1533338154.444,257,656,581,736,824,573
1533338154.461,245,641,564,736,824,579
1533338154.484,235,640,563,747,834,589
1533338154.494,243,651,582,746,828,585
1533338154.504,249,669,573,737,831,577
1533338154.536,245,650,569,742,830,590
1533338154.543,244,664,566,744,826,598
1533338154.551,246,679,582,743,831,591
1533338154.578,237,636,573,731,822,588
1533338154.594,244,634,574,726,820,580
1533338154.612,243,636,570,737,825,583
1533338154.628,242,647,575,736,821,588
1533338154.653,236,653,584,751,822,596
1533338154.667,234,651,571,722,825,591
1533338154.69,239,659,578,742,833,593
1533338154.7,245,665,575,727,827,587
1533338154.725,237,645,573,719,828,583
1533338154.758,238,637,574,738,829,586
1533338154.775,232,649,574,750,829,592
1533338154.789,261,663,574,731,820,583
1533338154.809,244,640,586,750,817,586
1533338154.836,245,638,575,730,824,576
1533338154.861,250,655,589,741,826,604
1533338154.879,221,645,568,734,822,591
1533338154.911,244,646,574,741,837,601
1533338154.926,267,650,578,751,836,570
1533338154.944,243,654,565,740,834,583
1533338154.959,248,653,564,730,821,588
1533338154.985,239,659,573,754,830,590
1533338155.0,249,663,594,737,830,579
1533338155.015,255,654,571,743,828,583
1533338155.03,239,644,570,742,830,593
1533338155.045,235,643,572,732,840,589
1533338155.057,251,656,575,730,827,582
1533338155.066,242,662,590,742,830,585
1533338155.088,234,657,582,740,811,585
1533338155.099,244,661,577,735,823,581
1533338155.116,246,660,573,743,834,603
1533338155.123,251,653,593,730,836,599
1533338155.132,251,674,570,736,827,585
1533338155.147,238,649,566,747,826,592
1533338155.182,263,667,580,753,837,586
1533338155.189,249,654,573,746,825,594
1533338155.199,258,676,568,740,828,580
1533338155.218,245,671,572,742,838,599
1533338155.25,251,662,569,751,827,582
1533338155.264,245,662,578,742,830,581
1533338155.278,243,657,571,746,834,606
1533338155.298,241,667,580,735,829,592
1533338155.307,243,666,591,749,828,597
1533338155.314,250,667,569,744,832,584
1533338155.33,249,669,576,749,828,603
1533338155.359,243,651,594,746,833,591
1533338155.389,259,663,582,740,836,588
1533338155.407,255,679,585,758,831,591
1533338155.415,253,698,601,750,835,601
1533338155.431,248,738,578,762,844,605
1533338155.476,251,781,587,774,870,608
1533338155.49,275,792,607,794,863,616
1533338155.507,250,802,586,794,871,618
1533338155.514,266,820,595,785,869,619
1533338155.522,259,810,606,796,885,638
1533338155.534,270,839,608,792,881,622
1533338155.548,262,858,612,811,873,620
1533338155.557,255,845,605,798,872,619
1533338155.576,274,877,627,814,879,623
1533338155.588,280,877,606,831,899,618
1533338155.596,260,890,592,806,871,613
1533338155.614,265,895,606,820,874,615
1533338155.621,269,869,601,814,877,624
1533338155.632,274,907,624,834,882,626
1533338155.643,280,874,615,831,885,632
1533338155.671,282,888,638,839,895,628
1533338155.68,271,883,621,828,894,632
1533338155.693,261,876,608,836,889,628
1533338155.713,272,893,616,835,891,621
1533338155.729,254,894,629,836,881,625
1533338155.74,269,878,616,838,886,633
1533338155.757,270,882,623,830,886,631
1533338155.764,265,901,624,834,882,632
1533338155.782,285,891,608,839,898,631
1533338155.796,283,892,630,837,899,635
1533338155.821,262,874,615,831,890,620
1533338155.854,287,893,634,850,900,633
1533338156.142,278,878,619,844,880,636
1533338156.153,279,882,629,848,881,628
1533338156.164,263,905,610,841,877,624
1533338156.178,254,896,616,844,888,633
1533338156.186,274,898,624,840,893,638
1533338156.204,287,896,622,856,912,648
1533338156.211,263,899,613,850,894,621
1533338156.222,284,893,640,862,909,648
1533338156.236,269,905,619,835,903,630
1533338156.245,289,907,627,855,888,644
1533338156.263,271,895,630,834,885,632
1533338156.287,275,881,604,844,891,618
1533338156.295,264,891,626,839,895,640
1533338156.306,283,889,618,852,899,647
1533338156.32,259,877,621,837,879,626
1533338156.329,269,890,613,838,883,627
1533338156.345,262,907,618,843,887,638
1533338156.353,267,879,614,845,884,616
1533338156.363,269,890,604,835,880,627
1533338156.387,276,888,614,839,881,628
1533338156.397,282,906,629,848,898,640
1533338156.415,264,897,617,836,887,643
1533338156.428,272,914,625,850,889,633
1533338156.439,291,894,617,857,904,646
1533338156.452,282,885,620,851,898,628
1533338156.462,292,904,627,834,891,638
1533338156.471,262,871,612,846,896,638
1533338156.485,260,893,619,841,894,633
1533338156.503,287,887,625,841,894,642
1533338156.511,280,907,630,858,890,644
1533338156.518,263,887,610,847,897,633
1533338156.537,259,892,621,828,893,617
1533338156.544,276,900,629,860,895,631
1533338156.552,281,893,610,847,906,636
1533338156.564,293,893,625,862,894,636
1533338156.578,278,902,640,850,897,633
1533338156.585,289,868,627,852,896,626
1533338156.595,264,900,617,839,884,622
1533338156.611,280,895,618,840,891,635
1533338156.621,278,893,637,856,912,624
1533338156.639,271,877,624,843,893,623
1533338156.652,270,879,614,833,889,637
1533338156.66,273,900,635,845,898,634
1533338156.668,281,878,622,850,889,636
1533338156.679,261,903,617,848,875,637
1533338156.693,298,901,630,849,891,656
1533338156.702,289,901,633,849,894,626
1533338156.718,244,872,613,844,891,615
1533338156.727,287,902,628,853,883,648
1533338156.734,283,874,621,849,893,629
1533338156.745,257,890,622,844,880,618
1533338156.752,289,886,615,849,902,635
1533338156.76,258,888,617,839,884,631
1533338156.767,257,881,610,838,885,630
1533338156.779,259,901,609,834,882,626
1533338156.793,263,905,610,832,880,633
1533338156.802,269,890,616,850,891,621
1533338156.811,272,890,607,850,883,621
1533338156.818,276,897,623,854,895,631
1533338156.827,271,898,621,828,882,614
1533338156.834,260,878,616,844,891,621
1533338156.848,283,904,624,855,896,635
1533338156.877,263,890,613,841,886,621
1533338156.911,259,892,615,846,882,620
1533338156.944,267,912,623,845,887,619
1533338156.951,268,886,624,867,890,617
1533338157.003,287,890,640,853,897,630
1533338157.018,277,883,627,849,887,614
1533338157.044,266,914,622,847,891,627
1533338157.071,267,879,620,842,892,613
1533338157.084,282,897,635,848,890,634
1533338157.096,285,915,629,839,884,634
1533338157.11,274,907,624,834,888,617
1533338157.117,264,873,623,836,889,625
1533338157.142,279,882,623,845,887,622
1533338157.15,283,874,621,843,891,641
1533338157.178,270,848,626,833,875,628
1533338157.191,265,788,618,825,862,620
1533338157.203,256,737,615,816,856,617
1533338157.222,282,702,623,813,858,611
1533338157.24,247,692,613,815,860,598
1533338157.25,255,682,603,790,865,603
1533338157.257,235,701,610,794,854,595
1533338157.276,251,687,608,786,861,608
1533338157.283,262,682,600,781,853,582
1533338157.295,254,675,593,774,855,593
1533338157.308,244,670,589,764,840,592
1533338157.316,266,652,583,756,852,581
1533338157.328,261,671,572,748,830,602
1533338157.343,239,656,581,739,818,590
1533338157.363,240,666,588,749,822,597
1533338157.396,238,673,574,744,820,592
1533338157.407,231,660,553,743,819,588
1533338157.416,257,644,561,760,816,596
1533338157.425,248,653,570,736,824,585
1533338157.462,253,661,569,738,809,589
1533338157.532,260,638,567,733,818,576
1533338157.549,234,636,576,728,831,577
1533338157.558,218,644,566,727,804,570
1533338157.576,236,641,564,736,810,576
1533338157.598,248,641,575,727,815,587
1533338157.609,233,662,578,733,824,585
1533338157.625,245,662,567,727,819,593
1533338157.642,237,654,574,740,814,589
1533338157.669,238,640,571,723,826,575
1533338157.714,245,644,590,739,821,582
1533338157.748,251,632,584,730,833,588
1533338157.756,239,650,573,748,819,582
1533338157.764,237,642,579,737,822,597
1533338157.782,245,641,569,739,830,584
1533338157.789,243,654,573,740,828,588
1533338157.803,236,647,575,733,818,576
1533338157.822,231,645,576,737,819,588
1533338157.834,245,629,573,751,816,585
1533338157.866,254,632,575,739,821,590
1533338157.892,236,656,578,751,824,582
1533338157.905,266,650,584,733,825,579
1533338157.921,247,634,586,753,823,584
1533338157.96,240,660,568,734,822,591
1533338157.974,241,652,583,741,826,578
1533338157.99,229,646,571,735,826,581
1533338158.005,256,658,592,747,823,592
1533338158.013,242,644,593,742,833,590
1533338158.022,246,666,570,743,813,585
1533338158.071,250,652,563,753,823,592
1533338158.08,249,642,582,749,834,591
1533338158.088,251,656,584,754,819,593
1533338158.097,255,648,573,746,839,597
1533338158.138,248,681,584,745,824,576
1533338158.163,255,657,570,752,831,580
1533338158.18,247,667,586,755,829,589
1533338158.211,249,651,579,749,836,594
1533338158.221,247,677,583,755,837,583
1533338158.238,265,673,582,749,833,591
1533338158.271,249,669,573,758,822,580
1533338158.299,251,684,584,765,835,587
1533338158.329,256,734,588,769,839,600
1533338158.338,281,774,601,770,852,616
1533338158.346,244,774,574,779,854,615
1533338158.363,259,831,612,816,876,620
1533338158.384,282,879,620,827,895,634
1533338158.406,281,902,640,844,889,633
1533338158.421,291,897,623,830,892,628
1533338158.461,299,881,625,841,909,639
1533338158.52,279,885,626,848,884,628
1533338158.528,277,898,618,849,905,635
1533338158.537,285,900,617,845,870,619
1533338158.546,298,888,614,842,907,628
1533338158.581,275,887,625,850,885,627
1533338158.605,272,893,628,835,886,636
1533338158.62,272,899,616,847,889,627
1533338158.648,257,887,625,829,897,627
1533338158.663,285,894,632,854,896,640
1533338158.697,297,893,631,856,883,639
1533338158.721,293,905,619,856,891,642
1533338158.748,279,894,623,851,904,631
1533338158.761,263,890,622,841,891,615
1533338158.769,259,910,639,837,876,623
1533338158.787,273,897,623,848,886,625
1533338158.844,283,883,627,852,887,617
1533338158.871,287,905,637,859,891,645
1533338158.886,283,925,621,855,893,635
1533338158.904,281,902,628,862,895,648
1533338158.927,291,891,641,854,895,640
1533338158.938,261,894,605,851,895,631
1533338158.952,284,905,610,862,886,624
1533338158.969,278,908,625,865,883,630
1533338158.976,288,909,614,851,898,637
1533338158.985,291,900,611,857,904,640
1533338158.993,266,872,616,847,900,630
1533338159.004,279,906,629,851,904,631
1533338159.019,278,929,625,868,892,627
1533338159.029,290,899,619,862,903,636
1533338159.045,278,893,622,868,900,624
1533338159.06,296,905,634,859,906,642
1533338159.071,283,898,624,867,896,626
1533338159.11,297,903,611,872,895,628
1533338159.138,285,900,629,854,910,649
1533338159.152,283,907,627,870,896,653
1533338159.159,274,889,624,858,896,623
1533338159.17,281,905,607,829,874,624
1533338159.186,297,909,629,860,904,640
1533338159.192,296,895,633,870,899,638
1533338159.21,294,891,632,872,901,646
1533338159.242,275,908,625,853,900,639
1533338159.272,280,916,639,864,902,650
1533338159.284,292,916,645,858,899,644
1533338159.292,304,903,638,857,898,640
1533338159.304,310,918,620,872,904,637
1533338159.318,280,907,615,864,896,644
1533338159.325,299,905,646,877,909,651
1533338159.337,286,922,624,864,888,641
1533338159.351,296,916,633,861,908,635
1533338159.359,297,902,628,856,897,630
1533338159.371,284,911,640,862,906,630
1533338159.384,287,914,637,871,906,642
1533338159.392,283,910,630,855,896,629
1533338159.404,293,917,634,856,900,639
1533338159.418,280,901,627,858,913,647
1533338159.425,295,897,647,854,898,640
1533338159.438,286,922,630,858,891,656
1533338159.451,280,916,645,858,896,632
1533338159.458,296,905,634,865,912,645
1533338159.47,281,899,616,850,900,639
1533338159.484,288,903,632,860,898,628
1533338159.492,287,893,622,862,906,633
