time,2,4,6,8,10,12,14,16,18,20,22,24,26,28
1535059335.674,949,906,973,1099,-207,38,-71,-40,-60,-56,-80,-38,-24,-226
1535059335.87,981,935,997,1155,-174,49,-48,-20,-42,-42,-49,-11,10,-220
1535059335.877,978,948,993,1151,-177,47,-48,-11,-33,-45,-49,-17,-1,-211
1535059335.887,960,945,1001,1133,-170,48,-52,-22,-41,-52,-45,-10,0,-224
1535059335.904,956,923,1006,1148,-165,58,-50,-14,-36,-44,-54,-11,11,-208
1535059335.924,977,931,999,1144,-184,45,-43,-12,-31,-37,-41,-24,-2,-215
1535059335.957,962,947,981,1139,-174,61,-50,-5,-33,-44,-51,-20,0,-214
1535059335.97,966,936,1001,1143,-179,47,-44,-13,-38,-47,-51,-16,3,-204
1535059335.986,965,932,990,1148,-174,52,-62,-20,-42,-45,-49,-3,-4,-214
1535059336.001,969,921,1004,1149,-164,45,-49,-16,-32,-35,-39,-19,0,-224
1535059336.021,982,946,985,1146,-167,50,-52,-16,-29,-35,-45,-16,-3,-216
1535059336.06,976,933,994,1137,-158,45,-47,-19,-38,-44,-56,-16,3,-219
1535059336.075,973,939,985,1165,-164,56,-41,-22,-41,-44,-45,-22,14,-222
1535059336.084,972,942,991,1127,-179,50,-44,-4,-44,-41,-51,-19,-5,-224
1535059336.106,967,946,989,1141,-166,51,-46,-15,-31,-34,-38,-15,-7,-217
1535059336.138,971,929,990,1154,-168,52,-47,-14,-33,-47,-51,-17,11,-222
1535059336.172,972,924,998,1134,-191,62,-61,-13,-38,-41,-53,-16,3,-213
1535059336.226,981,945,987,1142,-195,55,-45,4,-42,-42,-57,-26,5,-214
1535059336.249,971,935,987,1148,-171,49,-59,-5,-27,-48,-60,-8,-12,-214
1535059336.272,963,936,988,1155,-179,62,-55,-16,-35,-52,-45,-13,0,-224
1535059336.282,976,937,992,1138,-169,49,-57,-12,-37,-40,-47,-15,1,-217
1535059336.314,963,927,998,1143,-182,53,-58,-13,-35,-47,-56,-16,3,-207
1535059336.324,974,941,996,1142,-171,52,-50,-8,-45,-45,-49,3,-9,-208
1535059336.344,965,941,990,1151,-174,46,-51,-2,-33,-27,-54,-20,8,-217
1535059336.356,974,934,977,1141,-178,54,-46,-9,-28,-34,-53,-7,-8,-224
1535059336.38,968,938,990,1142,-168,52,-53,-11,-15,-45,-46,-6,5,-217
1535059336.394,977,931,992,1147,-184,57,-52,3,-28,-49,-53,-4,-7,-215
1535059336.41,972,945,991,1143,-164,33,-73,-4,-32,-41,-50,-7,12,-221
1535059336.436,969,930,982,1146,-176,56,-38,-13,-44,-44,-45,-16,-3,-207
1535059336.479,971,934,996,1147,-172,60,-49,-6,-34,-37,-50,-18,-16,-221
1535059336.492,979,933,991,1152,-188,47,-41,-13,-47,-49,-56,-10,0,-216
1535059336.513,970,944,992,1144,-175,48,-37,0,-34,-51,-44,-15,4,-212
1535059336.528,980,944,989,1147,-184,40,-54,-6,-31,-40,-61,-21,7,-215
1535059336.54,975,948,994,1145,-180,49,-42,-17,-45,-36,-60,-20,-1,-217
1535059336.566,980,937,993,1154,-178,57,-40,-21,-43,-34,-61,-32,-22,-209
1535059336.581,978,938,1000,1151,-180,49,-39,-14,-51,-33,-51,-8,13,-225
1535059336.607,967,937,995,1141,-172,49,-40,-6,-34,-34,-47,-18,-7,-215
1535059336.642,970,934,986,1153,-181,46,-49,-15,-34,-46,-50,-12,-2,-218
1535059336.656,964,937,986,1144,-172,45,-37,-12,-28,-43,-50,-9,4,-218
1535059336.685,978,945,993,1145,-177,46,-53,-8,-33,-30,-54,-17,-6,-222
1535059336.731,967,928,989,1160,-166,46,-51,-24,-31,-40,-41,-6,-16,-212
1535059336.749,974,934,977,1138,-181,45,-46,-9,-37,-43,-50,-9,-16,-212
1535059336.768,966,930,995,1143,-167,50,-44,-10,-32,-32,-51,-5,8,-219
1535059336.794,973,931,992,1150,-175,51,-46,-27,-46,-43,-47,-6,-2,-215
1535059336.803,968,938,1003,1152,-174,43,-42,-8,-33,-45,-43,-17,-7,-228
1535059336.831,977,925,983,1147,-181,46,-49,-9,-40,-34,-50,-9,4,-226
1535059336.842,969,942,985,1130,-179,47,-50,-4,-38,-44,-48,-16,0,-201
1535059336.882,968,929,987,1136,-174,52,-50,-8,-36,-36,-60,-20,8,-211
1535059336.918,970,937,992,1144,-184,48,-54,-21,-25,-40,-58,-21,1,-218
1535059336.955,992,953,999,1154,-181,45,-40,-6,-58,-31,-50,-24,1,-215
1535059336.978,968,945,990,1142,-186,43,-51,4,-51,-42,-55,-20,-1,-223
1535059337.053,959,951,984,1151,-174,49,-45,-17,-45,-42,-49,-3,-9,-219
1535059337.147,968,932,987,1142,-171,38,-45,-20,-27,-27,-43,-31,7,-228
1535059337.206,962,926,990,1145,-189,55,-42,-11,-36,-45,-54,-23,-1,-217
1535059337.219,969,942,994,1140,-176,50,-58,-4,-38,-47,-53,-22,-8,-210
1535059337.288,969,942,985,1146,-176,48,-49,-10,-32,-44,-56,-10,3,-213
1535059337.364,982,952,995,1134,-161,56,-67,-16,-26,-35,-54,-16,6,-210
1535059337.383,976,958,998,1156,-164,53,-47,-13,-38,-38,-48,-10,11,-219
1535059337.408,983,928,980,1154,-184,48,-43,-12,-34,-31,-44,-12,-10,-212
1535059337.445,974,941,993,1126,-184,48,-55,-12,-25,-37,-61,-15,1,-212
1535059337.485,964,950,993,1157,-181,51,-46,-12,-37,-34,-38,-15,-2,-209
1535059337.535,974,944,992,1150,-169,57,-46,6,-40,-31,-47,-7,-7,-226
1535059337.545,974,925,986,1135,-172,42,-40,-9,-43,-37,-47,-10,1,-218
1535059337.598,980,934,996,1154,-172,63,-55,-9,-34,-28,-56,-4,-5,-215
1535059337.611,971,941,993,1141,-178,54,-49,-3,-31,-31,-53,-10,-13,-212
1535059337.652,969,933,985,1143,-164,56,-38,-7,-38,-38,-48,-30,0,-224
1535059337.708,967,931,993,1141,-163,51,-46,-15,-31,-37,-47,-10,-2,-221
1535059337.784,973,955,995,1143,-161,56,-44,-7,-35,-29,-57,7,-3,-219
1535059337.832,958,944,996,1163,-163,54,-46,-6,-31,-34,-56,-16,3,-227
1535059337.866,973,934,979,1150,-179,65,-47,-4,-32,-38,-60,-14,-3,-225
1535059337.893,965,935,997,1155,-168,55,-48,-5,-33,-42,-55,6,7,-217
1535059337.972,982,940,998,1150,-158,59,-47,-13,-35,-35,-45,-5,-3,-213
1535059338.046,979,946,995,1153,-176,68,-32,5,-44,-38,-45,-14,-3,-222
1535059338.072,976,949,1010,1153,-167,44,-41,8,-44,-35,-39,-5,2,-213
1535059338.119,978,945,991,1149,-168,64,-33,10,-27,-39,-46,-9,-7,-206
1535059338.154,969,966,1006,1152,-162,55,-48,1,-15,-45,-52,-15,10,-223
1535059338.168,977,953,1011,1151,-166,57,-28,9,-25,-34,-47,4,-5,-212
1535059338.233,971,953,1002,1163,-163,54,-25,-27,-28,-43,-50,-10,12,-218
1535059338.254,972,945,1009,1146,-162,67,-27,1,-42,-33,-58,-9,-2,-214
1535059338.265,983,941,1014,1154,-157,66,-37,-6,-31,-43,-50,-18,3,-215
