time,value
1533060615.415,1308,1444
1533060615.423,1326,1453
1533060615.432,1308,1450
1533060615.459,1318,1436
1533060615.489,1315,1448
1533060615.497,1329,1461
1533060615.514,1314,1447
1533060615.528,1303,1427
1533060615.542,1304,1437
1533060615.558,1335,1447
1533060615.582,1330,1465
1533060615.598,1309,1436
1533060615.613,1303,1436
1533060615.636,1335,1464
1533060615.654,1354,1480
1533060615.664,1311,1435
1533060615.672,1325,1478
1533060615.683,1354,1483
1533060615.696,1340,1466
1533060615.704,1351,1486
1533060615.713,1352,1493
1533060615.723,1347,1482
1533060615.74,1330,1474
1533060615.762,1347,1479
1533060615.827,1354,1504
1533060615.837,1337,1466
1533060615.851,1336,1471
1533060615.878,1353,1491
1533060615.887,1364,1493
1533060615.895,1353,1508
1533060615.907,1339,1483
1533060615.92,1358,1490
1533060615.932,1347,1485
1533060615.944,1341,1473
1533060615.954,1357,1495
1533060615.963,1356,1494
1533060615.987,1337,1478
1533060615.994,1370,1494
1533060616.011,1376,1523
1533060616.019,1340,1475
1533060616.038,1351,1480
1533060616.045,1340,1493
1533060616.062,1341,1476
1533060616.071,1317,1450
1533060616.092,1350,1470
1533060616.127,1347,1473
1533060616.146,1352,1490
1533060616.153,1365,1494
1533060616.172,1346,1466
1533060616.211,1343,1457
1533060616.279,1350,1470
1533060616.318,1338,1473
1533060616.333,1326,1461
1533060616.518,1326,1450
1533060616.525,1309,1451
1533060616.536,1314,1444
1533060616.543,1330,1445
1533060616.57,1315,1427
1533060616.584,1318,1445
1533060616.593,1324,1445
1533060616.602,1325,1446
1533060616.61,1318,1445
1533060616.62,1312,1454
1533060616.653,1318,1430
1533060616.669,1321,1451
1533060616.681,1312,1439
1533060616.699,1344,1479
1533060616.708,1351,1498
1533060616.716,1364,1517
1533060616.726,1366,1507
1533060616.742,1388,1538
1533060616.783,1386,1539
1533060616.791,1390,1531
1533060616.817,1388,1517
1533060616.843,1364,1491
1533060616.86,1395,1533
1533060616.885,1373,1514
1533060616.891,1366,1510
1533060616.912,1374,1515
1533060616.924,1371,1518
1533060616.938,1364,1513
1533060616.973,1380,1518
1533060617.07,1385,1523
1533060617.082,1376,1517
1533060617.094,1386,1524
1533060617.107,1365,1509
1533060617.115,1370,1517
1533060617.123,1362,1491
1533060617.133,1349,1481
1533060617.14,1360,1512
1533060617.152,1374,1504
1533060617.167,1384,1522
1533060617.175,1375,1510
1533060617.182,1381,1516
1533060617.19,1371,1515
1533060617.2,1369,1510
1533060617.215,1368,1485
1533060617.232,1350,1467
1533060617.24,1358,1490
1533060617.273,1366,1504
1533060617.298,1335,1476
1533060617.338,1378,1525
1533060617.348,1367,1511
1533060617.356,1389,1536
1533060617.363,1360,1521
1533060617.373,1372,1516
1533060617.383,1360,1501
1533060617.399,1375,1522
1533060617.61,1366,1507
1533060617.621,1418,1555
1533060617.63,1402,1546
1533060617.648,1408,1569
1533060617.654,1416,1559
1533060617.663,1415,1558
1533060617.68,1414,1557
1533060617.687,1400,1547
1533060617.711,1392,1536
1533060617.721,1401,1545
1533060617.732,1429,1578
1533060617.745,1398,1536
1533060617.755,1441,1572
1533060617.763,1424,1564
1533060617.77,1426,1575
1533060617.781,1375,1528
1533060617.797,1405,1552
1533060617.805,1410,1562
1533060617.816,1406,1547
1533060617.832,1395,1533
1533060617.846,1420,1549
1533060617.872,1400,1573
1533060617.9,1395,1551
1533060617.924,1425,1568
1533060617.945,1396,1540
1533060617.959,1400,1544
1533060617.964,1366,1507
1533060617.978,1404,1536
1533060617.987,1423,1563
1533060618.005,1409,1555
1533060618.03,1427,1570
1533060618.044,1399,1543
1533060618.056,1408,1549
1533060618.087,1388,1538
1533060618.097,1411,1543
1533060618.107,1402,1531
1533060618.13,1399,1549
1533060618.144,1386,1539
1533060618.172,1396,1534
1533060618.19,1378,1531
1533060618.251,1377,1518
1533060618.261,1394,1529
1533060618.269,1412,1558
1533060618.28,1349,1490
1533060618.306,1380,1536
1533060618.327,1363,1483
1533060618.345,1349,1490
