time,value
1532995588.736,392,1113
1532995588.743,393,1117
1532995588.754,412,1112
1532995588.761,408,1076
1532995588.768,393,1102
1532995588.779,396,1097
1532995588.784,395,1113
1532995588.792,385,1112
1532995588.798,403,1106
1532995588.808,395,1098
1532995588.814,400,1097
1532995588.821,394,1100
1532995588.828,401,1090
1532995588.838,388,1112
1532995588.845,396,1108
1532995588.852,386,1087
1532995588.859,396,1117
1532995588.869,399,1108
1532995588.877,406,1103
1532995588.883,400,1100
1532995588.89,399,1108
1532995588.897,394,1103
1532995588.907,396,1111
1532995588.915,400,1112
1532995588.921,397,1115
1532995588.929,418,1109
1532995588.938,407,1122
1532995588.946,395,1107
1532995588.952,389,1125
1532995588.96,394,1118
1532995588.97,391,1121
1532995588.978,395,1093
1532995588.984,392,1116
1532995588.991,408,1111
1532995589.0,384,1129
1532995589.008,401,1096
1532995589.019,400,1121
1532995589.027,416,1128
1532995589.032,403,1130
1532995589.039,410,1128
1532995589.046,409,1136
1532995589.053,413,1134
1532995589.066,401,1119
1532995589.072,422,1140
1532995589.079,409,1142
1532995589.085,407,1137
1532995589.095,404,1128
1532995589.101,399,1129
1532995589.108,406,1133
1532995589.115,408,1141
1532995589.126,416,1131
1532995589.132,423,1129
1532995589.138,417,1137
1532995589.145,413,1151
1532995589.152,418,1150
1532995589.16,404,1134
1532995589.166,414,1135
1532995589.172,404,1137
1532995589.179,403,1121
1532995589.189,418,1136
1532995589.196,406,1136
1532995589.203,427,1130
1532995589.212,417,1126
1532995589.218,417,1126
1532995589.225,398,1128
1532995589.232,424,1142
1532995589.239,412,1142
1532995589.251,419,1145
1532995589.259,405,1144
1532995589.267,392,1143
1532995589.276,412,1130
1532995589.286,409,1127
1532995589.294,409,1147
1532995589.302,409,1142
1532995589.314,412,1121
1532995589.321,416,1137
1532995589.329,441,1129
1532995589.336,408,1141
1532995589.348,406,1141
1532995589.355,411,1138
1532995589.362,407,1137
1532995589.37,411,1143
1532995589.378,410,1134
1532995589.388,419,1140
1532995589.397,409,1127
1532995589.404,410,1137
1532995589.412,400,1130
1532995589.426,402,1135
1532995589.432,409,1142
1532995589.438,415,1139
1532995589.445,419,1137
1532995589.457,416,1148
1532995589.466,412,1144
1532995589.475,427,1130
1532995589.485,406,1136
1532995589.493,404,1134
1532995589.5,404,1140
1532995589.509,410,1137
1532995589.519,402,1129
1532995589.527,412,1136
1532995589.533,408,1146
1532995589.542,410,1143
1532995589.549,407,1151
1532995589.555,423,1138
1532995589.569,406,1139
1532995589.579,421,1133
1532995589.586,422,1143
1532995589.595,412,1133
1532995589.602,421,1139
1532995589.613,409,1133
1532995589.628,401,1140
1532995589.635,396,1144
1532995589.641,420,1135
1532995589.65,407,1137
1532995589.658,416,1125
1532995589.665,408,1123
1532995589.679,409,1133
1532995589.689,400,1144
1532995589.695,408,1138
1532995589.705,410,1131
1532995589.717,400,1133
1532995589.725,411,1135
1532995589.731,410,1128
1532995589.741,417,1144
1532995589.747,426,1132
1532995589.758,413,1125
1532995589.764,394,1147
1532995589.773,407,1140
1532995589.779,421,1142
1532995589.791,417,1141
1532995589.798,406,1133
1532995589.806,400,1139
1532995589.813,413,1137
1532995589.825,398,1131
1532995589.832,412,1141
1532995589.841,413,1134
1532995589.85,422,1146
1532995589.858,416,1157
1532995589.864,427,1130
1532995589.87,410,1137
1532995589.878,411,1126
1532995589.888,404,1131
1532995589.895,426,1138
1532995589.903,426,1144
1532995589.91,415,1139
1532995589.922,406,1127
1532995589.931,416,1134
1532995589.939,412,1133
1532995589.95,408,1135
1532995589.96,420,1135
1532995589.967,411,1152
1532995589.976,403,1144
1532995589.983,405,1132
1532995589.995,417,1120
1532995590.002,408,1135
1532995590.011,418,1136
1532995590.017,410,1134
1532995590.026,408,1132
1532995590.033,415,1144
1532995590.046,420,1138
1532995590.052,414,1132
1532995590.06,410,1119
1532995590.066,406,1127
1532995590.079,415,1150
1532995590.087,407,1134
1532995590.094,409,1136
1532995590.103,409,1144
1532995590.111,413,1134
1532995590.123,426,1141
1532995590.128,427,1142
1532995590.137,404,1134
1532995590.144,410,1148
1532995590.152,411,1141
1532995590.16,415,1136
1532995590.167,410,1134
1532995590.175,427,1153
1532995590.189,405,1135
1532995590.196,419,1131
1532995590.205,399,1143
1532995590.214,412,1144
1532995590.222,411,1158
1532995590.228,415,1147
1532995590.234,398,1131
1532995590.242,411,1111
1532995590.256,413,1145
1532995590.262,418,1142
1532995590.268,403,1144
1532995590.278,400,1127
1532995590.284,418,1133
1532995590.292,400,1144
1532995590.298,408,1123
1532995590.307,407,1128
1532995590.319,403,1115
1532995590.327,396,1126
1532995590.334,394,1106
1532995590.344,405,1111
1532995590.357,403,1106
1532995590.363,395,1098
1532995590.369,395,1096
1532995590.377,390,1097
1532995590.386,399,1088
1532995590.392,391,1080
1532995590.399,391,1080
1532995590.409,388,1068
1532995590.417,374,1051
1532995590.426,379,1056
1532995590.433,382,1051
1532995590.44,380,1034
1532995590.455,362,1034
1532995590.461,380,1037
1532995590.468,364,1024
1532995590.476,365,1043
1532995590.488,372,1038
1532995590.494,374,1010
1532995590.5,373,1036
1532995590.509,366,1035
1532995590.521,370,1024
1532995590.527,363,1020
1532995590.534,371,1019
1532995590.543,353,1022
1532995590.555,365,1022
1532995590.561,366,1014
1532995590.569,371,1022
1532995590.576,362,1013
1532995590.587,359,1007
1532995590.594,364,1024
1532995590.601,359,1025
1532995590.608,373,1021
1532995590.619,368,1031
1532995590.625,361,1021
1532995590.632,371,1034
1532995590.639,373,1024
1532995590.648,382,1033
1532995590.656,359,1034
1532995590.662,372,1041
1532995590.671,372,1026
1532995590.68,372,1041
1532995590.687,359,1031
1532995590.695,382,1036
1532995590.7,369,1035
1532995590.708,355,1009
1532995590.717,376,1018
1532995590.725,381,1020
1532995590.731,374,1007
1532995590.739,365,1007
1532995590.744,366,1011
1532995590.752,346,1024
1532995590.758,357,1000
1532995590.771,367,1006
1532995590.777,361,1012
1532995590.784,355,1001
1532995590.791,337,992
1532995590.803,366,1008
1532995590.808,356,1007
1532995590.814,336,997
1532995590.822,356,1004
1532995590.829,354,999
1532995590.839,355,1003
1532995590.845,348,1011
1532995590.853,363,1005
1532995590.859,354,988
1532995590.871,367,1006
1532995590.877,355,986
