time,value
1533062008.612,994,1067
1533062008.627,1004,1077
1533062008.635,968,1052
1533062008.644,983,1056
1533062008.659,976,1061
1533062008.671,997,1076
1533062008.685,967,1060
1533062008.7,988,1079
1533062008.709,986,1050
1533062008.719,993,1066
1533062008.733,993,1075
1533062008.745,1049,1124
1533062008.757,996,1069
1533062008.77,983,1062
1533062008.782,986,1062
1533062008.792,938,1032
1533062008.805,976,1057
1533062008.814,968,1029
1533062008.825,978,1051
1533062008.838,994,1070
1533062008.851,986,1083
1533062008.869,969,1050
1533062008.88,959,1038
1533062008.89,973,1069
1533062008.91,986,1074
1533062008.922,978,1054
1533062008.932,991,1079
1533062008.941,980,1053
1533062008.958,973,1046
1533062008.968,998,1074
1533062008.981,951,1030
1533062008.998,980,1044
1533062009.011,977,1058
1533062009.019,959,1046
1533062009.029,958,1048
1533062009.043,983,1068
1533062009.051,948,1044
1533062009.059,963,1036
1533062009.068,962,1029
1533062009.087,956,1038
1533062009.1,951,1042
1533062009.112,981,1063
1533062009.125,962,1049
1533062009.135,968,1052
1533062009.145,965,1035
1533062009.155,967,1025
1533062009.166,944,1041
1533062009.179,944,1014
1533062009.187,944,1029
1533062009.197,954,1039
1533062009.215,954,1033
1533062009.223,952,1042
1533062009.232,958,1025
1533062009.245,947,1026
1533062009.264,951,1021
1533062009.274,951,1009
1533062009.285,952,1022
1533062009.298,972,1044
1533062009.305,955,1016
1533062009.316,942,1018
1533062009.324,945,1018
1533062009.335,927,992
1533062009.347,946,1016
1533062009.357,942,1003
1533062009.37,927,992
1533062009.38,936,1000
1533062009.391,939,1006
1533062009.404,936,1003
1533062009.415,925,1007
1533062009.427,921,986
1533062009.45,931,1013
1533062009.461,918,989
1533062009.471,908,982
1533062009.482,903,992
1533062009.494,917,979
1533062009.507,916,990
1533062009.518,941,1011
1533062009.53,929,979
1533062009.548,893,967
1533062009.56,897,974
1533062009.568,916,984
1533062009.581,910,978
1533062009.589,928,1010
1533062009.598,919,987
1533062009.611,900,968
1533062009.618,921,977
1533062009.628,895,951
1533062009.64,911,985
1533062009.651,909,977
1533062009.66,906,968
