time,value
1533063000.96,350,822,756
1533063000.972,364,851,776
1533063000.985,366,868,777
1533063000.99,376,878,802
1533063001.006,389,882,797
1533063001.013,388,893,811
1533063001.02,392,885,815
1533063001.04,382,898,828
1533063001.05,400,890,820
1533063001.056,392,908,827
1533063001.067,390,895,807
1533063001.073,383,911,821
1533063001.08,405,903,836
1533063001.091,404,908,818
1533063001.097,414,918,825
1533063001.107,406,925,829
1533063001.115,410,905,835
1533063001.123,415,910,840
1533063001.129,404,905,847
1533063001.138,416,891,824
1533063001.144,402,909,839
1533063001.152,403,907,834
1533063001.16,402,906,831
1533063001.17,411,912,830
1533063001.176,407,902,832
1533063001.182,410,917,821
1533063001.191,398,905,812
1533063001.197,389,897,824
1533063001.206,407,905,818
1533063001.214,411,906,827
1533063001.224,407,911,818
1533063001.231,402,912,824
1533063001.241,396,892,819
1533063001.252,401,908,821
1533063001.259,405,912,825
1533063001.268,402,912,819
1533063001.275,400,907,828
1533063001.288,398,905,821
1533063001.296,400,896,817
1533063001.306,399,906,836
1533063001.316,395,908,829
1533063001.323,417,912,836
1533063001.331,400,916,826
1533063001.338,400,907,823
1533063001.348,413,914,832
1533063001.355,402,903,819
1533063001.363,407,911,827
1533063001.373,396,906,822
1533063001.38,420,898,816
1533063001.389,394,907,828
1533063001.397,409,904,828
1533063001.408,414,909,830
1533063001.414,400,901,817
1533063001.423,416,905,835
1533063001.431,407,914,818
1533063001.439,392,908,829
1533063001.446,412,910,831
1533063001.454,408,912,833
1533063001.461,403,901,826
1533063001.472,405,901,825
1533063001.478,419,914,830
1533063001.486,413,908,821
1533063001.493,414,924,825
1533063001.504,417,918,848
1533063001.51,402,912,816
1533063001.519,405,912,833
1533063001.529,413,920,829
1533063001.537,417,906,833
1533063001.545,404,908,835
1533063001.553,406,910,837
1533063001.563,413,914,824
1533063001.571,404,908,827
1533063001.578,399,915,839
1533063001.588,410,917,832
1533063001.598,407,911,838
1533063001.605,408,912,833
1533063001.612,413,905,821
1533063001.624,401,920,829
1533063001.633,418,910,831
1533063001.64,402,915,839
1533063001.652,403,901,837
1533063001.659,417,909,845
1533063001.668,394,910,817
1533063001.674,404,908,829
1533063001.687,408,915,833
1533063001.694,411,930,848
1533063001.703,407,905,853
1533063001.71,411,906,836
1533063001.722,413,932,847
1533063001.729,403,907,840
1533063001.738,410,914,832
1533063001.744,409,910,829
1533063001.756,421,913,846
1533063001.762,409,919,846
1533063001.771,417,918,845
1533063001.779,401,917,856
1533063001.789,415,925,852
1533063001.797,408,921,836
1533063001.806,400,919,840
1533063001.817,412,922,843
1533063001.823,411,921,848
1533063001.83,406,919,843
1533063001.837,410,917,829
1533063001.852,415,916,852
1533063001.859,415,913,855
1533063001.869,415,910,852
1533063001.879,419,911,847
1533063001.887,413,920,850
1533063001.894,411,918,848
1533063001.905,412,922,840
1533063001.913,414,909,860
1533063001.92,412,916,849
1533063001.931,414,915,857
1533063001.938,405,912,833
1533063001.945,429,927,860
1533063001.961,419,917,850
1533063001.969,415,922,840
1533063001.977,424,925,837
1533063001.987,409,922,834
1533063001.997,416,923,847
1533063002.006,413,926,850
1533063002.018,419,944,844
1533063002.026,413,917,847
1533063002.037,417,921,845
1533063002.045,426,924,845
1533063002.052,430,916,840
1533063002.06,415,901,840
1533063002.07,417,921,860
1533063002.077,409,931,835
1533063002.085,415,928,846
1533063002.097,417,927,848
1533063002.103,419,923,850
1533063002.11,420,915,845
1533063002.119,408,915,848
1533063002.132,415,922,834
1533063002.138,414,921,857
1533063002.146,411,915,848
1533063002.153,418,925,840
1533063002.166,418,916,834
1533063002.173,410,923,841
1533063002.181,407,929,841
1533063002.187,427,913,846
1533063002.2,412,916,840
1533063002.207,426,924,857
1533063002.215,412,928,846
1533063002.221,413,923,856
1533063002.234,411,921,842
1533063002.24,402,924,839
1533063002.249,423,927,845
1533063002.255,409,919,834
1533063002.268,423,930,845
1533063002.274,432,918,845
1533063002.283,414,933,872
1533063002.29,402,921,845
1533063002.298,428,935,871
1533063002.309,405,936,866
1533063002.317,428,953,874
1533063002.324,419,938,865
1533063002.336,416,947,865
1533063002.342,417,945,883
1533063002.35,406,949,864
1533063002.357,419,950,865
1533063002.364,441,959,885
1533063002.373,423,945,895
1533063002.381,439,948,886
1533063002.387,424,964,911
1533063002.397,431,983,906
1533063002.406,445,1005,904
1533063002.413,454,999,930
1533063002.42,464,1021,931
1533063002.432,455,1021,928
1533063002.438,473,1033,946
1533063002.446,472,1029,954
1533063002.453,470,1048,946
1533063002.461,458,1054,955
1533063002.472,472,1047,960
1533063002.478,468,1061,970
1533063002.486,487,1059,974
1533063002.496,480,1067,965
1533063002.508,472,1077,983
1533063002.515,476,1081,984
1533063002.522,497,1081,975
1533063002.531,493,1068,986
1533063002.541,485,1095,987
1533063002.548,481,1074,992
1533063002.555,481,1077,995
1533063002.564,487,1083,983
1533063002.572,492,1088,994
1533063002.58,491,1087,999
1533063002.587,502,1080,983
1533063002.596,480,1093,988
1533063002.606,491,1093,993
1533063002.614,487,1086,980
1533063002.62,479,1095,996
1533063002.632,496,1086,1004
1533063002.638,496,1083,998
1533063002.646,492,1082,997
1533063002.652,487,1077,992
1533063002.66,481,1077,983
1533063002.67,485,1084,993
1533063002.678,488,1081,999
1533063002.685,487,1089,989
1533063002.692,487,1086,992
1533063002.7,480,1085,982
1533063002.706,491,1084,993
1533063002.714,484,1074,1001
1533063002.72,481,1077,983
1533063002.732,488,1075,978
1533063002.738,495,1082,997
1533063002.745,478,1094,989
1533063002.755,476,1087,996
1533063002.762,483,1099,997
1533063002.768,486,1096,1000
1533063002.775,493,1089,992
1533063002.786,488,1086,987
1533063002.792,494,1081,1008
1533063002.8,491,1089,993
1533063002.806,482,1087,981
