time,value
1533061885.905,986,1012
1533061885.916,990,1010
1533061885.923,999,1022
1533061885.932,990,1019
1533061885.94,989,1012
1533061885.956,990,1025
1533061885.975,986,1015
1533061885.983,993,1019
1533061885.996,987,1004
1533061886.003,983,1012
1533061886.012,997,1020
1533061886.026,999,1028
1533061886.037,992,1027
1533061886.047,989,1012
1533061886.055,984,1019
1533061886.068,997,1008
1533061886.078,989,1018
1533061886.088,985,1002
1533061886.098,995,1006
1533061886.108,998,1018
1533061886.116,996,1022
1533061886.125,992,1018
1533061886.133,998,1021
1533061886.145,993,1025
1533061886.152,987,1010
1533061886.161,979,1013
1533061886.172,995,1009
1533061886.181,999,1022
1533061886.189,989,1027
1533061886.196,992,1027
1533061886.208,991,1020
1533061886.216,990,1022
1533061886.226,993,1010
1533061886.236,986,998
1533061886.245,1004,1033
1533061886.251,995,1030
1533061886.26,983,1017
1533061886.277,982,1011
1533061886.289,984,1013
1533061886.299,995,1009
1533061886.313,983,1003
1533061886.32,996,1019
1533061886.331,984,1010
1533061886.339,988,1011
1533061886.347,993,1013
1533061886.354,989,995
1533061886.366,987,1025
1533061886.374,975,1013
1533061886.381,996,1016
1533061886.392,1001,1012
1533061886.398,975,1009
1533061886.405,1002,1022
1533061886.412,1002,1031
1533061886.422,987,1013
1533061886.429,1001,1009
1533061886.435,1001,1024
1533061886.443,983,1018
1533061886.45,1000,1023
1533061886.461,988,1017
1533061886.467,980,1026
1533061886.475,993,1025
1533061886.485,991,1008
1533061886.493,993,1016
1533061886.499,985,1008
1533061886.506,977,1009
1533061886.516,1004,1018
1533061886.524,1002,1022
1533061886.53,994,1014
1533061886.537,984,1013
1533061886.547,981,1006
1533061886.555,995,1000
1533061886.564,996,1016
1533061886.576,980,1003
1533061886.582,987,1013
1533061886.589,995,1012
1533061886.598,986,1015
1533061886.611,999,1010
1533061886.618,995,1012
1533061886.626,997,1005
1533061886.633,998,1015
1533061886.645,983,1009
1533061886.652,984,1022
1533061886.662,987,1013
1533061886.669,997,1026
1533061886.682,987,1019
1533061886.689,990,1025
1533061886.697,986,1003
1533061886.705,988,1008
1533061886.717,1002,1022
1533061886.725,998,1006
1533061886.732,986,1015
1533061886.739,979,1014
1533061886.751,995,1024
1533061886.76,995,1009
1533061886.767,991,1008
1533061886.777,989,1024
1533061886.786,989,1006
1533061886.795,978,1025
1533061886.803,984,1010
1533061886.812,990,1004
1533061886.821,993,1025
1533061886.83,986,1021
1533061886.838,990,1019
1533061886.851,992,1021
1533061886.865,978,1009
1533061886.872,1002,1010
1533061886.882,995,995
1533061886.893,980,1009
1533061886.903,995,1018
1533061886.912,978,1010
1533061886.921,1000,999
1533061886.928,992,1027
1533061886.94,997,1005
1533061886.947,982,1005
1533061886.957,994,1011
1533061886.971,998,1012
1533061886.98,989,1009
1533061886.987,998,1003
1533061886.994,976,1020
1533061887.009,1000,1014
1533061887.017,1012,1011
1533061887.026,1006,1035
1533061887.033,980,1012
1533061887.046,990,1004
1533061887.053,1006,1014
1533061887.061,993,1013
1533061887.072,987,1019
1533061887.079,1002,1019
1533061887.089,992,1009
1533061887.096,991,1020
1533061887.108,980,1012
1533061887.115,986,1012
1533061887.124,983,1030
1533061887.135,986,1006
1533061887.143,986,1012
1533061887.151,971,1020
1533061887.16,988,1017
1533061887.169,988,1017
1533061887.177,986,1001
1533061887.185,996,1022
1533061887.197,975,1012
1533061887.205,978,1012
1533061887.212,979,1004
1533061887.22,989,1009
1533061887.233,996,1013
1533061887.241,991,1014
1533061887.249,1001,1012
1533061887.261,978,1009
1533061887.268,973,1016
1533061887.276,985,1020
1533061887.284,981,1001
1533061887.296,990,1019
1533061887.302,983,1006
1533061887.31,979,1005
1533061887.319,993,1013
1533061887.329,995,1006
1533061887.336,994,1026
1533061887.343,972,1009
1533061887.355,991,1014
1533061887.365,992,1003
1533061887.373,998,1018
1533061887.379,988,1017
1533061887.391,995,1012
1533061887.397,998,1021
1533061887.404,994,1008
1533061887.412,993,1004
1533061887.424,995,1024
1533061887.431,999,1025
1533061887.439,981,998
1533061887.449,994,1017
1533061887.457,1002,1037
1533061887.463,1003,1017
1533061887.472,983,1009
1533061887.478,997,1014
1533061887.49,987,996
1533061887.499,985,1014
1533061887.507,993,1019
1533061887.514,991,1017
1533061887.524,988,1023
1533061887.531,968,1002
1533061887.539,981,1007
1533061887.546,1003,1002
1533061887.557,1000,1029
1533061887.564,986,1018
1533061887.573,992,1024
1533061887.58,983,1009
1533061887.592,1001,1021
1533061887.599,1004,1027
1533061887.608,979,994
1533061887.619,978,1003
1533061887.628,998,1021
1533061887.635,978,1013
1533061887.644,980,1006
1533061887.656,992,1021
1533061887.664,987,1016
1533061887.673,995,1024
1533061887.681,989,1009
1533061887.693,1011,1022
1533061887.7,998,1021
1533061887.709,989,1027
1533061887.717,994,1011
1533061887.731,982,1026
1533061887.739,998,1027
1533061887.747,993,1013
1533061887.759,968,994
1533061887.766,1007,1039
1533061887.776,983,1012
1533061887.784,1007,1036
1533061887.797,992,1003
1533061887.806,993,1028
1533061887.813,993,1016
1533061887.824,995,1027
1533061887.831,997,1020
1533061887.84,988,1014
1533061887.848,985,1017
1533061887.859,994,1017
1533061887.869,1013,1033
1533061887.876,989,1027
1533061887.885,976,1019
1533061887.896,996,1028
1533061887.904,985,1017
1533061887.914,990,1025
1533061887.926,988,1014
1533061887.934,982,999
1533061887.948,978,1006
1533061887.956,983,1003
1533061887.966,976,1013
1533061887.974,981,1007
1533061887.982,985,1011
1533061887.991,986,1024
1533061887.998,995,1021
1533061888.01,964,996
1533061888.017,990,1007
1533061888.025,998,1009
1533061888.032,985,1005
1533061888.043,980,1003
1533061888.051,1010,1030
1533061888.057,969,997
1533061888.068,983,1021
1533061888.074,989,1009
1533061888.08,995,1009
1533061888.088,984,1010
1533061888.099,989,1015
1533061888.106,986,1024
1533061888.113,994,1017
1533061888.12,979,999
1533061888.128,977,1000
1533061888.138,986,1018
1533061888.144,989,1018
1533061888.152,985,1005
1533061888.159,995,1009
1533061888.168,992,1030
1533061888.174,1002,1007
1533061888.181,990,1022
1533061888.189,993,1028
1533061888.198,987,1010
1533061888.206,986,1015
1533061888.212,990,1004
1533061888.22,975,1009
1533061888.23,1003,1017
1533061888.237,991,1035
1533061888.244,989,1021
1533061888.252,981,1021
1533061888.261,1006,1011
1533061888.268,982,1008
1533061888.275,995,1027
1533061888.281,987,1025
1533061888.289,981,1009
1533061888.298,994,1014
1533061888.305,986,1012
1533061888.312,985,1017
1533061888.322,981,1018
1533061888.331,985,1008
1533061888.339,985,1023
1533061888.345,985,1017
1533061888.353,1002,1019
1533061888.361,973,1013
1533061888.368,999,1016
1533061888.375,982,1020
1533061888.381,1003,1032
1533061888.391,986,1018
1533061888.399,1001,1021
1533061888.405,987,1010
1533061888.412,991,1008
1533061888.424,985,1026
