time,value
1533062345.757,724,680
1533062345.767,719,678
1533062345.773,717,667
1533062345.783,707,681
1533062345.793,717,679
1533062345.8,716,678
1533062345.807,705,670
1533062345.818,715,686
1533062345.825,712,683
1533062345.833,718,677
1533062345.84,709,677
1533062345.85,705,672
1533062345.857,711,658
1533062345.866,709,668
1533062345.874,722,663
1533062345.884,709,686
1533062345.89,706,665
1533062345.9,706,680
1533062345.908,702,672
1533062345.917,717,676
1533062345.923,702,669
1533062345.933,694,679
1533062345.94,704,662
1533062345.951,713,669
1533062345.958,715,671
1533062345.967,696,672
1533062345.974,709,668
1533062345.983,707,666
1533062345.99,710,668
1533062346.0,701,677
1533062346.006,698,674
1533062346.017,696,681
1533062346.023,702,661
1533062346.034,702,660
1533062346.041,698,662
1533062346.05,691,661
1533062346.056,697,667
1533062346.066,706,656
1533062346.078,707,651
1533062346.088,694,667
1533062346.094,696,666
1533062346.101,690,663
1533062346.108,702,654
1533062346.117,697,652
1533062346.123,698,659
1533062346.133,707,669
1533062346.139,698,662
1533062346.15,689,659
1533062346.156,701,656
1533062346.166,694,658
1533062346.173,688,655
1533062346.182,695,653
1533062346.189,686,656
1533062346.199,687,660
1533062346.206,693,651
1533062346.216,691,658
1533062346.223,700,661
1533062346.232,696,654
1533062346.241,702,654
1533062346.249,698,659
1533062346.256,702,678
1533062346.267,704,669
1533062346.274,699,669
1533062346.282,700,679
1533062346.292,706,679
1533062346.299,710,666
1533062346.306,710,666
1533062346.318,709,665
1533062346.324,703,664
1533062346.331,704,657
1533062346.338,698,656
1533062346.35,704,640
1533062346.356,691,641
1533062346.366,692,650
1533062346.373,689,650
1533062346.382,688,649
1533062346.388,701,656
1533062346.399,701,639
1533062346.405,702,649
1533062346.415,685,652
1533062346.421,697,640
1533062346.431,693,637
1533062346.439,699,654
1533062346.448,702,654
1533062346.455,705,654
1533062346.465,697,649
1533062346.471,703,664
1533062346.481,707,665
1533062346.488,706,677
1533062346.498,709,665
1533062346.505,703,658
1533062346.514,704,656
1533062346.521,712,650
1533062346.531,704,651
1533062346.538,706,656
1533062346.55,703,661
1533062346.556,696,648
1533062346.564,691,649
1533062346.571,700,652
1533062346.581,699,660
1533062346.588,699,640
1533062346.598,694,649
1533062346.604,697,632
1533062346.616,673,641
1533062346.622,683,630
1533062346.631,663,622
1533062346.639,587,556
1533062346.648,585,545
1533062346.654,594,537
1533062346.664,570,531
1533062346.672,550,532
1533062346.681,573,525
1533062346.688,549,519
1533062346.697,562,514
1533062346.704,567,531
1533062346.715,583,547
1533062346.721,664,623
1533062346.73,715,665
